orgao_sigla,entry_type,field,original,normalizado,method,score,variation_type
CADE,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
CADE,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
CADE,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Governança e Gestão de Dados,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
CAPES,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
