sigla,nome_completo,grupo,url_diretivo,url_entregas,pdf_path_diretivo,pdf_path_entregas
MTE,Plano de Transformação Digital MTE:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mte_ptd_2025_2026_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mte_ptd_anexo_de_entregas_assinado_v1__281_29_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MTE_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MTE_entregas.pdf
MTUR,Plano de Transformação Digital MTUR:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mtur_ptd_docdiretiv_assinado_30_01_2025_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mtur_ptd_anexo_de_entregas_assinado_30_01_2025_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MTUR_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MTUR_entregas.pdf
PF,Plano de Transformação Digital PF,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/pf_ptd_docdiretivo_2025_2027_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/pf_ptd_anexo_de_entregas_2025_2027_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/PF_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/PF_entregas.pdf
PGFN,Plano de Transformação Digital MF / RFB / STN / PGFN:,MF,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mf_ptd_2026_2027_documentodiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mf_ptd_2026_2027_anexo_de_entregas_4_mf_pgfn_assinado_assinado_assinado_assinado.pdf,,/home/user/PTD/ptd_output/pdfs/entregas/PGFN_entregas.pdf
PREVIC,Plano de Transformação Digital PREVIC:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/previc_plano_de_transformacao_digital_2025_2026_29abr2025_assinado_29_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/previc_ptd_repactuacao_2025-2026_assinado_assinado_assinado_copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/PREVIC_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/PREVIC_entregas.pdf
PRF,Plano de Transformação digital PRF:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/prf_documentodiretivo_ptd_2026-2027_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/prf_anexo_de_entregas_do_ptd__2026_2027___ptd___entregas_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/PRF_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/PRF_entregas.pdf
RFB,Plano de Transformação Digital MF / RFB / STN / PGFN:,MF,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mf_ptd_2026_2027_documentodiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mf_ptd_2026_2027_anexo_de_entregas_4_mf_pgfn_assinado_assinado_assinado_assinado.pdf,,
SFB,Plano de Transformação Digital MMA / IBAMA / ICMBio / SFB / JBRJ:,MMA,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_docdiretivo_assinado_2025_2026-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_anexo_de_entregas_aprovado_final_assinado_assinado-copia_tarjada.pdf,,
SGPR,Plano de Transformação Digital SGPR,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/sg-pr_ptd_2026_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/sg-pr_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/SGPR_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/SGPR_entregas.pdf
STN,Plano de Transformação Digital MF / RFB / STN / PGFN:,MF,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mf_ptd_2026_2027_documentodiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mf_ptd_2026_2027_anexo_de_entregas_4_mf_pgfn_assinado_assinado_assinado_assinado.pdf,,
SUDAM,Plano de Transformação Digital MIDR / CODEVASF / SUDAM / SUDECO / SUDENE:,MIDR,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/midr_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/midr_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-1.pdf,,
SUDECO,Plano de Transformação Digital MIDR / CODEVASF / SUDAM / SUDECO / SUDENE:,MIDR,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/midr_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/midr_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-1.pdf,,
SUDENE,Plano de Transformação Digital MIDR / CODEVASF / SUDAM / SUDECO / SUDENE:,MIDR,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/midr_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/midr_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-1.pdf,,
SUSEP,Plano de Transformação Digital SUSEP:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/susep_ptd_2025_2027_docdiretivo-assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/susep_ptd_2025-2026_anexo_de_entregas_final_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/SUSEP_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/SUSEP_entregas.pdf
